Pipeline Name,EffectiveDate,Page,PointOfOrigin,PointOfDestination,LiquidRateCentsPerBbl
FRONT RANGE PIPELINE LLC,01-07-2025,7,"Lancaster, CO","Texas Express Pipeline-Skellytown, TX Mid-America Pipeline-Skellytown, TX",608.37
FRONT RANGE PIPELINE LLC,01-07-2025,7,"Lancaster, CO","Mont Belvieu, TX",1255.60
FRONT RANGE PIPELINE LLC,01-07-2025,8,"Lancaster, CO Fort Lupton, CO Platte Valley, CO Wattenberg, CO Lucerne, CO Mewbourn, CO O’Connor, CO Discovery Plant, CO Latham, CO(5)","Texas Express Pipeline-Skellytown, TX Mid-America Pipeline-Skellytown, TX",304.11(1)
FRONT RANGE PIPELINE LLC,01-07-2025,8,"Lancaster, CO Fort Lupton, CO Platte Valley, CO Wattenberg, CO Lucerne, CO Mewbourn, CO O’Connor, CO Discovery Plant, CO Latham, CO(5)","Mont Belvieu, TX",642.95(2)
FRONT RANGE PIPELINE LLC,01-07-2025,8,"Discovery Plant, CO","Texas Express Pipeline-Skellytown, TX Mid-America Pipeline-Skellytown, TX",425.553)
FRONT RANGE PIPELINE LLC,01-07-2025,8,"Discovery Plant, CO","Mont Belvieu, TX",764.40 (4)
