Pipeline Name,EffectiveDate,Page,PointOfOrigin,PointOfDestination,LiquidRateCentsPerBbl
HAMMOND MAINLINE PIPELINE LLC,01-07-2025,1,"Valero Alsip Terminal, Alsip, IL","Valero Hammond Terminal, Hammond, IN",[I] $0.4167 (Note 1)
HAMMOND MAINLINE PIPELINE LLC,01-07-2025,1,"Valero Hammond Terminal, Hammond, IN","Valero Alsip Terminal, Alsip, IL",[I] $0.4167 (Note 1)
