Pipeline Name,EffectiveDate,Page,PointOfOrigin,PointOfDestination,LiquidRateCentsPerBbl
"GT PIPELINE, LLC",16-12-2025,2,Outlet flanges of tanks located at WPATF,Inlet flanges of tanks located at GT Main,[D] $0.1177
"GT PIPELINE, LLC",16-12-2025,2,Outlet flanges of tanks located at GT Main,Inlet flanges of tanks located at GT Shore,[D] $0.1177
"GT PIPELINE, LLC",16-12-2025,2,Outlet flanges of tanks located at GT Shore,Inlet flanges of tanks located at GT Main,[D] $0.1177
"GT PIPELINE, LLC",16-12-2025,2,Outlet flanges of tanks located at GT Main,Bayou Line inbound manifold at WPATF,[D] $0.1177
"GT PIPELINE, LLC",16-12-2025,2,ORIGIN,DESTINATION (NOTE 2),RATE (NOTE 3)
"GT PIPELINE, LLC",16-12-2025,2,Outlet flanges of tanks located at WPATF,Inlet flanges of tanks located at GT Main,[D] $0.1277
"GT PIPELINE, LLC",16-12-2025,2,Outlet flanges of tanks located at GT Main,Inlet flanges of tanks located at GT Shore,[D] $0.1277
"GT PIPELINE, LLC",16-12-2025,2,Outlet flanges of tanks located at GT Shore,Inlet flanges of tanks located at GT Main,[D] $0.1277
"GT PIPELINE, LLC",16-12-2025,2,Outlet flanges of tanks located at GT Main,Bayou Line inbound manifold at WPATF,[D] $0.1277
