Pipeline Name,EffectiveDate,Page,PointOfOrigin,PointOfDestination,LiquidRateCentsPerBbl
WILLIAMS OHIO VALLEY PIPELINE LLC,01-07-2025,15,"Oak Grove, Marshall County, West Virginia","Houston, PA Hub (Note 1)",[I] 240.53
WILLIAMS OHIO VALLEY PIPELINE LLC,01-07-2025,15,"Oak Grove, Marshall County, West Virginia","Houston, PA Hub (Note 1)",[I] 191.86
