Pipeline Name,EffectiveDate,Page,PointOfOrigin,PointOfDestination,LiquidRateCentsPerBbl
KEYSTONE PIPELINE COMPANY,01-07-2025,10,"ALTOONA (Blair County), Pennsylvania","LINDEN (Union County), New Jersey",[U] 240.47 (a)
KEYSTONE PIPELINE COMPANY,01-07-2025,10,"ALTOONA (Blair County), Pennsylvania","LINDEN (Union County), New Jersey",[U] 210.05 (b)
