Pipeline Name,EffectiveDate,Page,PointOfOrigin,PointOfDestination,LiquidRateCentsPerBbl
BLUESTEM PIPELINE LLC,01-07-2025,15,"Conway, Kansas","Kingfisher, Oklahoma",[I] 327.67
BLUESTEM PIPELINE LLC,01-07-2025,15,"Conway, Kansas","Kingfisher, Oklahoma",[I] 146.96
BLUESTEM PIPELINE LLC,01-07-2025,16,"Conway, Kansas","Kingfisher, Oklahoma",[I] 328.67
