Pipeline Name,EffectiveDate,Page,PointOfOrigin,PointOfDestination,LiquidRateCentsPerBbl
"JAYHAWK PIPELINE, L.L.C",01-07-2025,1,"Holdrege Station Phelps County, Nebraska","McPherson Station McPherson County, Kansas",[I] 203.87 1
"JAYHAWK PIPELINE, L.L.C",01-07-2025,1,"Holdrege Station Phelps County, Nebraska","McPherson Station McPherson County, Kansas",[I] 220.14 2
"JAYHAWK PIPELINE, L.L.C",01-07-2025,1,"Holdrege Station Phelps County, Nebraska","McPherson Station McPherson County, Kansas",[I] 244.64 3
"JAYHAWK PIPELINE, L.L.C",01-07-2025,1,"Holdrege Station Phelps County, Nebraska","McPherson Station McPherson County, Kansas",[I] 254.82 4
