Pipeline Name,EffectiveDate,Page,PointOfOrigin,PointOfDestination,LiquidRateCentsPerBbl
"SORRENTO PIPELINE COMPANY, LLC",01-07-2025,3,"Napoleonville, Assumption Parish, Louisiana","Anse La Butte, St. Martin Parish, Louisiana",2.70
"SORRENTO PIPELINE COMPANY, LLC",01-07-2025,3,"Napoleonville, Assumption Parish, Louisiana","Grangeville, St. Helena Parish, Louisiana",5.74
"SORRENTO PIPELINE COMPANY, LLC",01-07-2025,3,"Geismar, Ascension Parish, Louisiana","Grangeville, St. Helena Parish, Louisiana",5.08
"SORRENTO PIPELINE COMPANY, LLC",01-07-2025,3,"Sorrento, Ascension Parish, Louisiana","Grangeville, St. Helena Parish, Louisiana",4.53
"SORRENTO PIPELINE COMPANY, LLC",01-07-2025,3,"Garyville, St. John the Baptist Parish, Louisiana","Grangeville, St. Helena Parish, Louisiana",5.08
"SORRENTO PIPELINE COMPANY, LLC",01-07-2025,3,"Norco, St. Charles Parish, Louisiana","Grangeville, St. Helena Parish, Louisiana",6.36
"SORRENTO PIPELINE COMPANY, LLC",01-07-2025,3,"Geismar, Ascension Parish, Louisiana","Sorrento, Ascension Parish, Louisiana",2.56
"SORRENTO PIPELINE COMPANY, LLC",01-07-2025,3,"Garyville, St. John the Baptist Parish, Louisiana","Sorrento, Ascension Parish, Louisiana",2.56
