Pipeline Name,EffectiveDate,Page,PointOfOrigin,PointOfDestination,LiquidRateCentsPerBbl
WesTTex 66 Pipeline LLC,01-07-2025,7,"Skellytown Station (Carson County, Texas)","Mont Belvieu Station (Chambers County, Texas)",$2.9817
WesTTex 66 Pipeline LLC,01-07-2025,7,"Skellytown Station (Carson County, Texas)","Mont Belvieu Station (Chambers County, Texas)",$3.1635
WesTTex 66 Pipeline LLC,01-07-2025,7,"Skellytown Station (Carson County, Texas)","Mont Belvieu Station (Chambers County, Texas)",$3.0849
WesTTex 66 Pipeline LLC,01-07-2025,7,"Skellytown Station (Carson County, Texas)","Mont Belvieu Station (Chambers County, Texas)",$3.1635
WesTTex 66 Pipeline LLC,01-07-2025,7,"Skellytown Station (Carson County, Texas)","Mont Belvieu Station (Chambers County, Texas)",$4.0428
