Pipeline Name,EffectiveDate,Page,PointOfOrigin,PointOfDestination,LiquidRateCentsPerBbl
"GLASS MOUNTAIN PIPELINE, LLC",01-08-2025,8,"Alva, Oklahoma","Cushing, Oklahoma",[U] 78.53
"GLASS MOUNTAIN PIPELINE, LLC",01-08-2025,8,"Alva, Oklahoma","Cushing, Oklahoma",[N] 47.50
"GLASS MOUNTAIN PIPELINE, LLC",01-08-2025,8,"Alva, Oklahoma","Cushing, Oklahoma",[N] 30.00
"GLASS MOUNTAIN PIPELINE, LLC",01-08-2025,8,"[N] Alva, Oklahoma","[N] Ruby, Oklahoma",[N] 30.00
"GLASS MOUNTAIN PIPELINE, LLC",01-08-2025,8,"[N] Alva, Oklahoma","[N] Ruby, Oklahoma",[N] N/A
"GLASS MOUNTAIN PIPELINE, LLC",01-08-2025,8,"[N] Alva, Oklahoma","[N] Ruby, Oklahoma",[N] N/A
