Pipeline Name,EffectiveDate,Page,PointOfOrigin,PointOfDestination,LiquidRateCentsPerBbl
"EnLink NGL Pipeline, LP",01-07-2025,3,"Interconnections near Mont Belvieu, Texas","Acadia Parish, Louisiana",[I] $2.8461
"EnLink NGL Pipeline, LP",01-07-2025,3,"Interconnections near Mont Belvieu, Texas","Acadia Parish, Louisiana",[I] $2.8616
"EnLink NGL Pipeline, LP",01-07-2025,3,"Interconnections near Mont Belvieu, Texas","Iberville Parish, Louisiana",[I] $5.3303
"EnLink NGL Pipeline, LP",01-07-2025,3,"Interconnections near Mont Belvieu, Texas","Iberville Parish, Louisiana",[I] $5.4816
"EnLink NGL Pipeline, LP",01-07-2025,3,"Interconnections near Mont Belvieu, Texas","St. Mary Parish, Louisiana [Note 5]",[I] $5.1053
"EnLink NGL Pipeline, LP",01-07-2025,3,"Interconnections near Mont Belvieu, Texas","St. Mary Parish, Louisiana [Note 5]",[I] $5.2501
