Pipeline Name,EffectiveDate,Page,PointOfOrigin,PointOfDestination,LiquidRateCentsPerBbl
GNB NGL Pipeline LLC,01-07-2025,11,"QEP Field Services Company Stagecoach and Iron Horse Facility Uintah County, Utah","Mid-America Pipeline Company, LLC Interconnect Uintah County, Utah",[I] $0.0228 [Note 2] or [I] $0.9583 [Note 3]
GNB NGL Pipeline LLC,01-07-2025,11,"QEP Field Services Company Stagecoach and Iron Horse Facility Uintah County, Utah","Mid-America Pipeline Company, LLC Interconnect Uintah County, Utah",[U] $0.0183 [Note 2] or [U] $0.7669 [Note 3]
GNB NGL Pipeline LLC,01-07-2025,11,"Western Gas Partners, LP Chipeta Plant Uintah County, Utah","Mid-America Pipeline Company, LLC Interconnect Uintah County, Utah",[I] $0.0228 [Note 2] or [I] $0.9583 [Note 3]
GNB NGL Pipeline LLC,01-07-2025,11,"Western Gas Partners, LP Chipeta Plant Uintah County, Utah","Mid-America Pipeline Company, LLC Interconnect Uintah County, Utah",[U] $0.0146 [Note 2] or [U] $0.6140 [Note 3]
