Pipeline Name,PointfOrigin,PointOfDestination,LiquidTariffNumber,Effective Date,End Date,TariffStatus,RateTier,RateType,TermYear,MinBPD,MaxBPD,AcreageDedicationMinAcres,AcreageDedicationMaxAcres,LiquidRateCentsPerBbl,SurchargeCentsPerBbl,LiquidFuelType
WesTTex 66 Pipeline LLC,"Skellytown Station (Carson County, Texas)","Mont Belvieu Station (Chambers County, Texas)",,01-07-2025,,Effective,,CONTRACT SHIPPER RATES,,,,,,$2.9817,,Crude
WesTTex 66 Pipeline LLC,"Skellytown Station (Carson County, Texas)","Mont Belvieu Station (Chambers County, Texas)",,01-07-2025,,Effective,,CONTRACT SHIPPER RATES,,,,,,$3.1635,,Crude
WesTTex 66 Pipeline LLC,"Skellytown Station (Carson County, Texas)","Mont Belvieu Station (Chambers County, Texas)",,01-07-2025,,Effective,,CONTRACT SHIPPER RATES,,,,,,$3.0849,,Crude
WesTTex 66 Pipeline LLC,"Skellytown Station (Carson County, Texas)","Mont Belvieu Station (Chambers County, Texas)",,01-07-2025,,Effective,,CONTRACT SHIPPER RATES,,,,,,$3.1635,,Crude
WesTTex 66 Pipeline LLC,"Skellytown Station (Carson County, Texas)","Mont Belvieu Station (Chambers County, Texas)",,01-07-2025,,Effective,,CONTRACT SHIPPER RATES,,,,,,$4.0428,,Crude
