Pipeline Name,PointfOrigin,PointOfDestination,LiquidTariffNumber,Effective Date,End Date,TariffStatus,RateTier,RateType,TermYear,MinBPD,MaxBPD,AcreageDedicationMinAcres,AcreageDedicationMaxAcres,LiquidRateCentsPerBbl,SurchargeCentsPerBbl,LiquidFuelType
"JAYHAWK PIPELINE, L.L.C.","Holdrege Station Phelps County, Nebraska","McPherson Station McPherson County, Kansas",,01-07-2025,,Effective,,,,,,,,[I] 203.87 1,,Crude
"JAYHAWK PIPELINE, L.L.C.","Holdrege Station Phelps County, Nebraska","McPherson Station McPherson County, Kansas",,01-07-2025,,Effective,,,,,,,,[I] 220.14 2,,Crude
"JAYHAWK PIPELINE, L.L.C.","Holdrege Station Phelps County, Nebraska","McPherson Station McPherson County, Kansas",,01-07-2025,,Effective,,,,,,,,[I] 244.64 3,,Crude
"JAYHAWK PIPELINE, L.L.C.","Holdrege Station Phelps County, Nebraska","McPherson Station McPherson County, Kansas",,01-07-2025,,Effective,,,,,,,,[I] 254.82 4,,Crude
